"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8"
"Cascada_0",0,0,0,0,0,0,0,NA
"Cascada_100",0,0,0,0,0,0,0,NA
"Cascada_120",0,0,0,0,0,0,0,NA
"Cascada_140",0,0,0,0,0,0,0,NA
"Cascada_160",0,0,0,0,0,0,0,NA
"Cascada_180",0,0,0,0,0,0,0,NA
"Cascada_20",0,0,0,1,0,0,0,NA
"Cascada_40",0,0,0,0,0,0,0,NA
"Cascada_60",0,0,0,0,0,0,0,NA
"Cascada_80",0,0,0,0,0,0,0,NA
"Guabal_0",0,0,0,0,0,0,0,NA
"Guabal_100",0,0,0,0,0,0,0,NA
"Guabal_120",0,0,0,0,0,0,0,NA
"Guabal_140",0,0,0,0,0,0,0,NA
"Guabal_160",0,0,0,0,0,0,0,NA
"Guabal_180",0,0,0,0,0,0,0,NA
"Guabal_20",0,0,0,0,0,0,0,NA
"Guabal_40",0,0,0,0,0,0,0,NA
"Guabal_60",0,0,0,0,0,0,0,NA
"Guabal_80",0,0,0,0,0,0,0,NA
"LoopStream_0",0,0,0,0,0,0,0,NA
"LoopStream_100",0,0,0,0,0,0,0,NA
"LoopStream_120",0,0,0,0,0,0,0,NA
"LoopStream_140",0,0,0,0,0,0,0,NA
"LoopStream_160",0,0,0,0,0,0,0,NA
"LoopStream_180",0,0,0,0,0,0,0,NA
"LoopStream_20",0,0,0,0,0,0,0,NA
"LoopStream_40",0,0,0,0,0,0,0,NA
"LoopStream_60",0,0,0,0,0,1,0,NA
"LoopStream_80",0,0,0,0,0,0,0,NA
"LoopTrail_0",0,0,1,1,0,0,NA,NA
"LoopTrail_100",0,0,0,0,1,0,NA,NA
"LoopTrail_120",0,0,0,0,0,0,NA,NA
"LoopTrail_140",0,0,0,0,0,0,NA,NA
"LoopTrail_160",0,0,0,0,0,0,NA,NA
"LoopTrail_180",0,0,0,0,0,0,NA,NA
"LoopTrail_20",0,0,0,0,0,0,NA,NA
"LoopTrail_200",0,0,0,0,0,0,NA,NA
"LoopTrail_220",0,0,0,0,0,0,NA,NA
"LoopTrail_240",0,0,0,0,0,0,NA,NA
"LoopTrail_260",0,0,0,0,0,0,NA,NA
"LoopTrail_280",0,0,0,0,0,0,NA,NA
"LoopTrail_300",0,0,0,0,0,0,NA,NA
"LoopTrail_320",0,0,0,0,0,0,NA,NA
"LoopTrail_340",0,0,0,0,0,0,NA,NA
"LoopTrail_360",0,1,0,0,0,0,NA,NA
"LoopTrail_40",0,0,0,0,0,0,NA,NA
"LoopTrail_60",0,0,0,0,0,0,NA,NA
"LoopTrail_80",0,0,0,0,0,0,NA,NA
"MainTrail_0",0,1,0,0,0,0,NA,NA
"MainTrail_100",0,0,0,0,0,1,NA,NA
"MainTrail_120",0,0,0,0,0,1,NA,NA
"MainTrail_140",0,0,0,0,0,0,NA,NA
"MainTrail_160",0,0,0,0,0,0,NA,NA
"MainTrail_180",0,0,0,0,0,0,NA,NA
"MainTrail_20",1,0,0,0,0,3,NA,NA
"MainTrail_200",0,0,0,0,0,0,NA,NA
"MainTrail_220",0,0,0,0,0,0,NA,NA
"MainTrail_240",0,0,0,0,0,0,NA,NA
"MainTrail_260",0,0,0,0,0,0,NA,NA
"MainTrail_280",0,0,0,0,0,0,NA,NA
"MainTrail_300",0,0,0,2,0,0,NA,NA
"MainTrail_320",0,0,0,0,0,1,NA,NA
"MainTrail_340",0,0,0,1,0,0,NA,NA
"MainTrail_360",0,0,0,0,0,0,NA,NA
"MainTrail_380",0,0,0,0,0,0,NA,NA
"MainTrail_40",0,0,0,0,0,0,NA,NA
"MainTrail_60",0,0,0,0,0,0,NA,NA
"MainTrail_80",0,1,1,0,0,1,NA,NA
"Silenciosa_0",0,0,0,0,0,0,0,NA
"Silenciosa_100",0,0,0,0,0,0,0,NA
"Silenciosa_120",0,0,0,0,0,0,0,NA
"Silenciosa_140",0,0,0,0,0,0,0,NA
"Silenciosa_160",0,0,0,0,0,0,0,NA
"Silenciosa_180",0,0,0,0,0,0,0,NA
"Silenciosa_20",0,0,0,0,1,0,0,NA
"Silenciosa_40",0,0,0,0,0,0,0,NA
"Silenciosa_60",0,0,0,0,0,0,1,NA
"Silenciosa_80",0,0,0,0,0,0,0,NA
"Verrugosa_0",0,0,0,0,1,NA,NA,NA
"Verrugosa_100",0,0,0,0,0,NA,NA,NA
"Verrugosa_120",0,0,0,0,0,NA,NA,NA
"Verrugosa_140",1,0,0,0,0,NA,NA,NA
"Verrugosa_160",0,0,1,0,0,NA,NA,NA
"Verrugosa_180",0,1,0,0,2,NA,NA,NA
"Verrugosa_20",0,0,0,0,0,NA,NA,NA
"Verrugosa_200",0,1,0,0,1,NA,NA,NA
"Verrugosa_220",0,0,0,0,0,NA,NA,NA
"Verrugosa_240",1,0,0,0,0,NA,NA,NA
"Verrugosa_260",0,0,0,0,0,NA,NA,NA
"Verrugosa_280",0,0,0,0,0,NA,NA,NA
"Verrugosa_300",0,1,0,0,0,NA,NA,NA
"Verrugosa_320",0,1,0,0,0,NA,NA,NA
"Verrugosa_340",0,0,0,0,0,NA,NA,NA
"Verrugosa_360",0,0,0,0,0,NA,NA,NA
"Verrugosa_380",0,0,0,0,0,NA,NA,NA
"Verrugosa_40",0,0,0,0,0,NA,NA,NA
"Verrugosa_60",2,0,0,0,1,NA,NA,NA
"Verrugosa_80",0,0,0,0,0,NA,NA,NA
