"","Species","yr","Prevalence","sum"
"3","albomaculata",2012,0.342857142857143,35
"4","albomaculata",2013,0.279411764705882,68
"5","albomaculata",2014,0.105263157894737,19
"12","cerasinus",2012,0.386363636363636,88
"13","cerasinus",2013,0.220779220779221,77
"14","cerasinus",2014,0.264705882352941,34
"17","colymbiphyllum",2012,0.166666666666667,18
"21","crassidigitus",2013,0.15,20
"26","cruentus",2012,0.247787610619469,113
"27","cruentus",2013,0.266666666666667,30
"28","cruentus",2014,0.56,25
"54","orange",2013,0.25,24
"62","pardalis",2012,0.291666666666667,24
"71","prosoblepon",2010,0.285714285714286,21
"72","prosoblepon",2011,0.230769230769231,52
"73","prosoblepon",2012,0.246913580246914,162
"74","prosoblepon",2013,0.218253968253968,252
"75","prosoblepon",2014,0.0666666666666667,150
